
# IMU Configuration complete!
# IMU + GPS streaming started
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
nan,nan,nan,nan,nan,nan,nan,nan,nan,Waiting for IMU data: myICM.dataReady() == False
IMU,370,-0.127344,-0.227937,9.914771,-0.009082,0.001944,-0.000932,70.235321,1015.112061,-970.714355
IMU,374,-0.149168,-0.215912,9.926479,0.004102,-0.002450,0.003329,70.235321,1015.112061,-970.714355
IMU,387,-0.093135,-0.235581,9.939083,-0.001225,-0.001918,0.002131,102.371552,1010.049255,-999.507446
IMU,391,-0.166139,-0.216314,9.945621,0.003436,0.000746,-0.000533,102.371552,1010.049255,-999.507446
IMU,405,-0.078500,-0.223024,9.929339,-0.000692,0.001678,-0.000932,69.305725,970.238098,-955.675049
IMU,409,-0.146968,-0.257654,9.917566,-0.004954,0.000346,0.001065,69.305725,970.238098,-955.675049
IMU,422,-0.178632,-0.267905,9.931993,0.002637,0.002077,0.003862,101.752441,989.810974,-941.698792
IMU,426,-0.122113,-0.206613,9.967293,0.001172,-0.003649,0.001065,108.595070,1048.958862,-1028.855103
IMU,440,-0.100175,-0.201500,9.962510,0.000373,0.001012,-0.003729,108.595070,1048.958862,-1028.855103
IMU,444,-0.173512,-0.203615,9.921355,-0.000293,-0.000453,0.002530,108.595070,1048.958862,-1028.855103
IMU,457,-0.187915,-0.219486,9.981598,-0.000559,-0.000719,-0.001465,70.235321,1015.112061,-970.714355
IMU,461,-0.153880,-0.226524,9.969868,-0.001491,0.002344,0.002530,70.235321,1015.112061,-970.714355
IMU,475,-0.122413,-0.213081,9.912149,-0.001491,0.001412,0.001598,103.073799,1042.276611,-1019.152771
IMU,479,-0.222078,-0.204486,9.959568,-0.001491,0.001412,0.000133,103.073799,1042.276611,-1019.152771
IMU,492,-0.117274,-0.196446,9.950335,-0.002424,0.000746,-0.001731,91.412148,1008.673950,-941.939453
IMU,496,-0.063911,-0.212812,9.912427,0.004767,0.002477,0.002797,128.924332,992.215881,-1032.885864
IMU,510,-0.063770,-0.223321,9.951034,-0.004421,-0.002583,0.002530,124.168236,1035.462769,-971.202209
IMU,514,-0.139522,-0.220516,9.909786,0.001438,0.000346,0.006259,124.168236,1035.462769,-971.202209
IMU,527,-0.146737,-0.250944,9.958292,0.001172,0.000479,0.001465,101.792900,978.385620,-1008.625488
IMU,531,-0.181086,-0.235298,9.897818,-0.000826,0.000213,-0.002530,101.792900,978.385620,-1008.625488
IMU,545,-0.146689,-0.191002,9.911670,-0.000160,0.004075,-0.001864,70.855171,1046.963623,-971.184143
IMU,549,-0.117432,-0.220940,9.941128,0.005833,0.001678,-0.000533,70.855171,1046.963623,-971.184143
IMU,562,-0.105402,-0.247884,9.934422,0.001305,-0.000453,-0.000932,117.345093,958.989014,-974.848145
