#options: 640x480 fps=30/1 timebase=1/30 bitdepth=8 cabac=0 ref=1 deblock=0:0:0 analyse=0:0 me=dia subme=0 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=6 sliced_threads=1 slices=6 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=300 keyint_min=30 scenecut=0 intra_refresh=0 rc_lookahead=0 rc=cbr mbtree=0 bitrate=500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=500 vbv_bufsize=300 nal_hrd=none filler=0 ip_ratio=1.40 aq=0
in:0 out:0 type:I dur:2 cpbdur:2 q:34.34 aq:34.00 tex:49321 mv:9316 misc:6419 imb:1200 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:39.54 aq:40.00 tex:0 mv:0 misc:648 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:35.54 aq:36.00 tex:331 mv:112 misc:877 imb:2 pmb:30 smb:1168 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:32.23 aq:32.00 tex:5109 mv:1581 misc:1510 imb:27 pmb:321 smb:852 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:30.74 aq:31.00 tex:9381 mv:1933 misc:1638 imb:35 pmb:431 smb:734 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:30.12 aq:30.00 tex:10461 mv:1960 misc:1699 imb:30 pmb:470 smb:700 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:29.76 aq:30.00 tex:6979 mv:1414 misc:1615 imb:22 pmb:356 smb:822 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:29.21 aq:29.00 tex:10968 mv:2065 misc:1655 imb:57 pmb:439 smb:704 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:29.05 aq:29.00 tex:7819 mv:1416 misc:1581 imb:22 pmb:356 smb:822 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:28.71 aq:29.00 tex:7436 mv:1476 misc:1672 imb:31 pmb:366 smb:803 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:28.40 aq:28.00 tex:17535 mv:2697 misc:1816 imb:60 pmb:625 smb:515 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:28.64 aq:29.00 tex:4092 mv:845 misc:1407 imb:12 pmb:223 smb:965 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:28.17 aq:28.00 tex:11378 mv:2033 misc:1709 imb:31 pmb:499 smb:670 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:28.09 aq:28.00 tex:9332 mv:1476 misc:1608 imb:17 pmb:392 smb:791 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:27.76 aq:27.58 tex:12246 mv:1812 misc:1630 imb:26 pmb:454 smb:720 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:27.90 aq:27.79 tex:9143 mv:1533 misc:1628 imb:27 pmb:393 smb:780 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:27.67 aq:27.52 tex:8948 mv:1515 misc:1593 imb:30 pmb:365 smb:805 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:27.41 aq:27.30 tex:12576 mv:1754 misc:1574 imb:20 pmb:440 smb:740 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:27.48 aq:27.50 tex:7668 mv:1178 misc:1522 imb:16 pmb:318 smb:866 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:26.96 aq:26.60 tex:16738 mv:1985 misc:1709 imb:18 pmb:537 smb:645 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:27.46 aq:27.00 tex:10960 mv:1444 misc:1612 imb:13 pmb:394 smb:793 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:27.48 aq:27.78 tex:6574 mv:1292 misc:1566 imb:17 pmb:336 smb:847 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:26.71 aq:26.59 tex:13796 mv:1924 misc:1688 imb:20 pmb:516 smb:664 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:27.14 aq:26.79 tex:10386 mv:1456 misc:1606 imb:15 pmb:420 smb:765 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:26.80 aq:26.79 tex:10537 mv:1491 misc:1628 imb:21 pmb:407 smb:772 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:26.95 aq:26.53 tex:12385 mv:1664 misc:1591 imb:16 pmb:446 smb:738 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:27.10 aq:26.79 tex:9710 mv:1425 misc:1593 imb:13 pmb:407 smb:780 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:26.60 aq:26.58 tex:12843 mv:1853 misc:1656 imb:24 pmb:487 smb:689 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:26.67 aq:26.78 tex:10076 mv:1425 misc:1627 imb:15 pmb:413 smb:772 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:26.51 aq:26.57 tex:11488 mv:1570 misc:1614 imb:13 pmb:446 smb:741 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:26.52 aq:26.58 tex:11291 mv:1637 misc:1616 imb:22 pmb:441 smb:737 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:26.54 aq:26.58 tex:11209 mv:1573 misc:1610 imb:18 pmb:435 smb:747 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:26.54 aq:26.58 tex:10512 mv:1427 misc:1557 imb:11 pmb:409 smb:780 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:26.25 aq:26.59 tex:11476 mv:1659 misc:1665 imb:18 pmb:467 smb:715 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:26.29 aq:26.58 tex:11194 mv:1582 misc:1632 imb:18 pmb:446 smb:736 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:26.31 aq:26.60 tex:11247 mv:1720 misc:1617 imb:19 pmb:454 smb:727 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:26.39 aq:26.58 tex:10882 mv:1598 misc:1632 imb:14 pmb:438 smb:748 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:26.23 aq:26.55 tex:10472 mv:1432 misc:1576 imb:11 pmb:406 smb:783 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:26.35 aq:26.58 tex:10733 mv:1531 misc:1600 imb:13 pmb:435 smb:752 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:26.32 aq:26.56 tex:10683 mv:1588 misc:1657 imb:18 pmb:450 smb:732 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:25.97 aq:25.80 tex:16860 mv:2068 misc:1712 imb:24 pmb:560 smb:616 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:26.27 aq:26.00 tex:14291 mv:1913 misc:1676 imb:24 pmb:509 smb:667 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:26.30 aq:26.00 tex:14336 mv:1898 misc:1670 imb:24 pmb:502 smb:674 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:26.30 aq:26.00 tex:12964 mv:1649 misc:1651 imb:13 pmb:479 smb:708 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:26.30 aq:26.00 tex:12731 mv:1708 misc:1649 imb:18 pmb:470 smb:712 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:26.29 aq:26.00 tex:13081 mv:1745 misc:1646 imb:24 pmb:469 smb:707 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:26.28 aq:26.00 tex:12634 mv:1760 misc:1614 imb:23 pmb:472 smb:705 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:26.27 aq:26.00 tex:13008 mv:1785 misc:1663 imb:24 pmb:473 smb:703 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:26.27 aq:26.00 tex:12299 mv:1618 misc:1651 imb:19 pmb:446 smb:735 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:26.26 aq:26.00 tex:13080 mv:1707 misc:1613 imb:26 pmb:451 smb:723 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:26.25 aq:26.00 tex:11991 mv:1629 misc:1620 imb:22 pmb:441 smb:737 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:26.22 aq:26.00 tex:12613 mv:1787 misc:1616 imb:28 pmb:463 smb:709 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:26.36 aq:26.00 tex:12558 mv:1694 misc:1636 imb:16 pmb:470 smb:714 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:26.30 aq:26.00 tex:12253 mv:1644 misc:1607 imb:18 pmb:458 smb:724 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:26.25 aq:26.00 tex:12697 mv:1607 misc:1600 imb:22 pmb:437 smb:741 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:26.22 aq:26.00 tex:12259 mv:1678 misc:1647 imb:23 pmb:452 smb:725 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:26.17 aq:26.00 tex:12469 mv:1567 misc:1580 imb:20 pmb:429 smb:751 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:26.09 aq:26.00 tex:12328 mv:1763 misc:1653 imb:23 pmb:483 smb:694 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:26.42 aq:26.79 tex:7432 mv:1195 misc:1533 imb:8 pmb:359 smb:833 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:25.69 aq:25.60 tex:16046 mv:2148 misc:1646 imb:32 pmb:528 smb:640 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:26.09 aq:26.00 tex:11825 mv:1689 misc:1606 imb:27 pmb:429 smb:744 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:26.07 aq:26.00 tex:12432 mv:1714 misc:1614 imb:19 pmb:466 smb:715 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:26.26 aq:26.00 tex:12491 mv:1726 misc:1623 imb:16 pmb:472 smb:712 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:26.14 aq:26.00 tex:13133 mv:1718 misc:1621 imb:17 pmb:476 smb:707 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:26.40 aq:26.78 tex:8545 mv:1375 misc:1536 imb:25 pmb:345 smb:830 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:26.31 aq:26.52 tex:11357 mv:2083 misc:1608 imb:29 pmb:433 smb:738 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:26.25 aq:25.77 tex:17525 mv:2920 misc:1715 imb:64 pmb:546 smb:590 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:26.32 aq:26.00 tex:14755 mv:2540 misc:1673 imb:56 pmb:526 smb:618 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:26.37 aq:26.00 tex:14193 mv:2408 misc:1655 imb:46 pmb:492 smb:662 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:26.38 aq:26.00 tex:13845 mv:2315 misc:1720 imb:33 pmb:501 smb:666 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:26.38 aq:26.00 tex:14147 mv:2487 misc:1718 imb:52 pmb:515 smb:633 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:26.38 aq:26.00 tex:13172 mv:2406 misc:1702 imb:38 pmb:520 smb:642 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:26.35 aq:26.00 tex:13993 mv:2443 misc:1684 imb:41 pmb:523 smb:636 d:- ref:0 ;
