#options: 640x480 fps=30/1 timebase=1/30 bitdepth=8 cabac=0 ref=1 deblock=0:0:0 analyse=0:0 me=dia subme=0 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=6 sliced_threads=1 slices=6 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=300 keyint_min=30 scenecut=0 intra_refresh=0 rc_lookahead=0 rc=cbr mbtree=0 bitrate=500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=500 vbv_bufsize=300 nal_hrd=none filler=0 ip_ratio=1.40 aq=0
in:0 out:0 type:I dur:2 cpbdur:2 q:36.02 aq:36.00 tex:95705 mv:10066 misc:6421 imb:1200 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:42.47 aq:42.92 tex:2740 mv:30 misc:678 imb:0 pmb:10 smb:1190 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:39.65 aq:40.00 tex:9 mv:3 misc:660 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:36.55 aq:37.00 tex:4452 mv:1722 misc:1586 imb:57 pmb:336 smb:807 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:33.79 aq:34.00 tex:8298 mv:2367 misc:1823 imb:81 pmb:457 smb:662 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:32.08 aq:32.00 tex:26561 mv:2413 misc:1738 imb:24 pmb:593 smb:583 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:32.29 aq:32.00 tex:1677 mv:288 misc:1099 imb:1 pmb:84 smb:1115 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:30.79 aq:31.00 tex:23780 mv:2173 misc:1727 imb:41 pmb:573 smb:586 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:31.12 aq:31.00 tex:2418 mv:332 misc:1130 imb:1 pmb:100 smb:1099 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:30.59 aq:31.00 tex:2337 mv:365 misc:1162 imb:2 pmb:109 smb:1089 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:30.02 aq:30.00 tex:14922 mv:1500 misc:1666 imb:21 pmb:414 smb:765 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:30.12 aq:30.00 tex:3550 mv:517 misc:1293 imb:2 pmb:159 smb:1039 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:29.69 aq:30.00 tex:2398 mv:361 misc:1137 imb:1 pmb:111 smb:1088 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:29.14 aq:29.00 tex:18677 mv:1518 misc:1597 imb:9 pmb:448 smb:743 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:29.32 aq:29.00 tex:3657 mv:444 misc:1219 imb:1 pmb:138 smb:1061 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:28.53 aq:29.00 tex:1906 mv:260 misc:1058 imb:1 pmb:80 smb:1119 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:27.86 aq:28.00 tex:31237 mv:2673 misc:1778 imb:37 pmb:693 smb:470 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:28.80 aq:29.00 tex:186 mv:35 misc:699 imb:0 pmb:9 smb:1191 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:28.40 aq:28.00 tex:5808 mv:659 misc:1381 imb:2 pmb:203 smb:995 d:- ref:0 ;
